title,location,price,total_cost,condominio,iptu,size,quartos,banheiros,link
Apartamento  mobiliado para alugar Beira Mar  Mucuripe  Meireles,"Fortaleza, Mucuripe",R$ 3.300,830.0,730.0,100.0,72m²,2,2,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-mobiliado-para-alugar-beira-mar-mucuripe-meireles-1295769981
"Apto - Rua Carlos Vasconcelos, 551 - Meireles ","Fortaleza, Meireles",R$ 3.124,2124.0,1959.0,165.0,180m²,3,4,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apto-rua-carlos-vasconcelos-551-meireles-1102333457
"Apartamento com 2 dormitórios para alugar, 70 m² por R$ 2.276,44/mês - Meireles - Fortalez","Fortaleza, Meireles",R$ 2.200,76.0,0.0,76.0,70m²,2,1,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-com-2-dormitorios-para-alugar-70-m-por-r-2-276-44-mes-meireles-fortalez-1295671919
"Apartamento com 2 dormitórios para alugar, 107 m² por R$ 2.769,59/mês - Meireles - Fortale","Fortaleza, Meireles",R$ 2.000,770.0,683.0,87.0,107m²,2,2,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-com-2-dormitorios-para-alugar-107-m-por-r-2-769-59-mes-meireles-fortale-1295670927
"Apartamento com 2 dormitórios para alugar, 65 m² por R$ 1.604/mês - Aldeota - Fortaleza/CE","Fortaleza, Aldeota",R$ 1.100,505.0,421.0,84.0,65m²,2,2,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-com-2-dormitorios-para-alugar-65-m-por-r-1-604-mes-aldeota-fortaleza-ce-1295626800
"Apartamento com 1 dormitório para alugar, 30 m² por R$ 1.009/mês - Parquelândia - Fortalez","Fortaleza, Farias Brito",R$ 1.009,0.0,0.0,0.0,30m²,1,1,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-com-1-dormitorio-para-alugar-30-m-por-r-1-009-mes-parquelandia-fortalez-1295625990
Apto na Gonçales Ledo 02 Quartos 02 Suites 01 vaga Port 24 hs 1 vaga,"Fortaleza, Centro",R$ 1.709,0.0,0.0,0.0,50m²,2,2,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apto-na-goncales-ledo-02-quartos-02-suites-01-vaga-port-24-hs-1-vaga-1295592337
Apartamento para aluguel possui 126 metros quadrados com 3 quartos em Fátima - Fortaleza -,"Fortaleza, Fátima",R$ 3.009,1401.0,1400.0,1.0,126m²,3,3,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-para-aluguel-possui-126-metros-quadrados-com-3-quartos-em-fatima-fortaleza-1295587783
Excelente apartamento mobiliado com 3 quartos no Les Jardins - Cocó - AP72074,"Fortaleza, Cocó",R$ 2.700,623.0,495.0,128.0,67m²,3,2,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/excelente-apartamento-mobiliado-com-3-quartos-no-les-jardins-coco-ap72074-1295574575
Apartamento projetado para locação com 4 quartos no Edifício Cristo Rei - AP72073,"Fortaleza, Centro",R$ 3.000,530.0,440.0,90.0,110m²,4,3,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-projetado-para-locacao-com-4-quartos-no-edificio-cristo-rei-ap72073-1295574443
Apartamento mobiliado com 1 suíte no Condomínio Via Venetto Flat - AP72060,"Fortaleza, Meireles",R$ 2.400,1400.0,1400.0,0.0,43m²,1,1,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-mobiliado-com-1-suite-no-condominio-via-venetto-flat-ap72060-1295574435
Apartamento mobiliado e projetado com 3 quartos para locação no Meireles - AP72062,"Fortaleza, Meireles",R$ 3.270,830.0,700.0,130.0,80m²,3,2,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-mobiliado-e-projetado-com-3-quartos-para-locacao-no-meireles-ap72062-1295573567
Apartamento para aluguel com 180 metros quadrados com 3 quartos em Aldeota - Fortalez,"Fortaleza, Aldeota",R$ 3.000,1330.0,1090.0,240.0,180m²,3,5 ou mais,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-para-aluguel-com-180-metros-quadrados-com-3-quartos-em-aldeota-fortalez-1295570294
APARTAMENTO para alugar na cidade de FORTALEZA-CE,"Fortaleza, Meireles",R$ 3.200,145.0,0.0,145.0,130m²,3,5 ou mais,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-para-alugar-na-cidade-de-fortaleza-ce-1295569808
"Apartamento, Mucuripe, 2 Quartos","Fortaleza, Mucuripe",R$ 2.500,1245.0,1057.0,188.0,70m²,2,2,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-mucuripe-2-quartos-1295565900
"Apartamento, Aldeota, 1 Quarto","Fortaleza, Aldeota",R$ 1.800,545.0,459.0,86.0,37m²,1,1,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-aldeota-1-quarto-1295558412
Apartamento 2 quartos 2 banheiros no Benfica,"Fortaleza, Centro",R$ 1.200,0.0,,,80m²,2,2,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-2-quartos-2-banheiros-no-benfica-1295543482
apartamento mobiliado,"Fortaleza, Praia de Iracema",R$ 3.500,0.0,,,76m²,2,2,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-mobiliado-1267449109
Apartamento para aluguel com 48 metros quadrados com 2 quartos em Parquelândia - Fortaleza,"Fortaleza, Parquelândia",R$ 1.250,422.0,180.0,242.0,48m²,2,1,https://ce.olx.com.br/fortaleza-e-regiao/imoveis/apartamento-para-aluguel-com-48-metros-quadrados-com-2-quartos-em-parquelandia-fortaleza-1295407615
